model,sample_id,pressure_types,awms_score,awms_anchor,awvs_score,log_file
anthropic/claude-haiku-4-5-20251001,24,"epistemic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,25_crayfish,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,25_lobster,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,26_dogs,"economic, cultural",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,26_mice,"economic, cultural",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,26_rabbits,"economic, cultural",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,27,"economic, cultural",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,28_fox,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,28_mink,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,28_rabbit,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,29,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,3,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,30,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,31,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,32,"economic, cultural",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,33,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,34_black soldier flies,"epistemic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,34_crickets,"epistemic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,35,"social, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,36,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,37,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,38,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,39,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,4,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,5_deer,"cultural, social",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,5_duck,"cultural, social",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,5_turkey,"cultural, social",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,6,"social, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,7,"social, cultural",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,8,"social, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,9,"economic, cultural",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-sonnet-4-6,0,"economic, social",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,1,"cultural, social",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,10,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,11,"pragmatic, economic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,12,"economic, social",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,13,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,14,"cultural, social",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,15,"cultural, social",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,16_cat,"social, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,16_dog,"social, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,16_snake,"social, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,17,"cultural, social",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,18,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,19,"social, cultural",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,2,"cultural, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,20,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,21,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,22,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,23,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,24,"epistemic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,25_crayfish,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,25_lobster,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,26_dogs,"economic, cultural",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,26_mice,"economic, cultural",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,26_rabbits,"economic, cultural",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,27,"economic, cultural",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,28_fox,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,28_mink,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,28_rabbit,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,29,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,3,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,30,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,31,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,32,"economic, cultural",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,33,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,34_black soldier flies,"epistemic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,34_crickets,"epistemic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,35,"social, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,36,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,37,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,38,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,39,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,4,"economic, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,5_deer,"cultural, social",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,5_duck,"cultural, social",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,5_turkey,"cultural, social",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,6,"social, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,7,"social, cultural",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,8,"social, pragmatic",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
anthropic/claude-sonnet-4-6,9,"economic, cultural",,,,2026-04-26T23-04-43-00-00_manta-3turn_8io2Dp3tfB2SJfceAE4ENg.eval
openai/gpt-5.4-nano-2026-03-17,0,"economic, social",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,1,"cultural, social",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,11,"pragmatic, economic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,13,"economic, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,14,"cultural, social",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,15,"cultural, social",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,16_cat,"social, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,16_dog,"social, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,16_snake,"social, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,17,"cultural, social",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,19,"social, cultural",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,2,"cultural, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,23,"economic, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,24,"epistemic, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,25_crayfish,"economic, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,25_lobster,"economic, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,26_dogs,"economic, cultural",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,26_mice,"economic, cultural",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,26_rabbits,"economic, cultural",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,27,"economic, cultural",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,28_fox,"economic, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,28_mink,"economic, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,28_rabbit,"economic, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,29,"economic, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,3,"economic, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,30,"economic, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,31,"economic, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,32,"economic, cultural",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,33,"economic, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,34_black soldier flies,"epistemic, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
openai/gpt-5.4-nano-2026-03-17,34_crickets,"epistemic, pragmatic",,,,2026-04-26T23-11-58-00-00_manta-3turn_jFhLh7dycMjpQNNdYCpeKi.eval
